rank,university,位置,score,logo_path,logo_url
68,台湾大学,台湾,68.2,logos_cn/台湾大学-m.jpg,https://www.qschina.cn/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg
69,布宜诺斯艾利斯大学,阿根廷,67.9,logos_cn/布宜诺斯艾利斯大学-m.jpg,https://www.qschina.cn/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg
70,鲁汶大学,比利时,67.2,logos_cn/鲁汶大学-m.jpg,https://www.qschina.cn/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg
70,苏黎世大学,瑞士,67.2,logos_cn/苏黎世大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-zurich_693_small.jpg
72,索邦大学,法国,67.1,logos_cn/索邦大学-m.jpg,https://www.qschina.cn/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg
73,格拉斯哥大学,英国,66.8,logos_cn/格拉斯哥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg
74,高丽大学,韩国,66.3,logos_cn/高丽大学-m.jpg,https://www.qschina.cn/sites/default/files/korea-university_325_small.jpg
75,大阪大学,日本,66.2,logos_cn/大阪大学-m.jpg,https://www.qschina.cn/sites/default/files/osaka-university_472_small.jpg
75,威斯康星大学麦迪逊分校,美国,66.2,logos_cn/威斯康星大学麦迪逊分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-wisconsin-madison_678_small.jpg
77,南安普敦大学,英国,65.7,logos_cn/南安普敦大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-southampton_567_small.jpg
78,罗蒙诺索夫莫斯科国立大学,俄罗斯,65.6,logos_cn/罗蒙诺索夫莫斯科国立大学-m.jpg,https://www.qschina.cn/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg
79,哥本哈根大学,丹麦,65.5,logos_cn/哥本哈根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-copenhagen_141_small.jpg
79,延世大学,韩国,65.5,logos_cn/延世大学-m.jpg,https://www.qschina.cn/sites/default/files/yonsei-university_688_small.jpg
81,浦项科技大学,韩国,65.4,logos_cn/浦项科技大学-m.jpg,https://www.qschina.cn/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg
82,杜伦大学,英国,65.2,logos_cn/杜伦大学-m.jpg,https://www.qschina.cn/sites/default/files/durham-university_170_small.jpg
82,东北大学,日本,65.2,logos_cn/东北大学-m.jpg,https://www.qschina.cn/sites/default/files/tohoku-university_611_small.jpg
82,伊利诺伊大学香槟分校,美国,65.2,logos_cn/伊利诺伊大学香槟分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg
85,奥克兰大学,新西兰,65,logos_cn/奥克兰大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg
85,华盛顿大学,美国,65,logos_cn/华盛顿大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg
86,巴黎第十一大学,法国,64.9,logos_cn/巴黎第十一大学-m.jpg,https://www.qschina.cn/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg
87,隆德大学,瑞典,63.8,logos_cn/隆德大学-m.jpg,https://www.qschina.cn/sites/default/files/lund-university_371_small.jpg
88,乔治亚理工学院(Georgia Tech),美国,63.5,logos_cn/乔治亚理工学院(Georgia Tech)-m.jpg,https://www.qschina.cn/sites/default/files/georgia-institute-of-technology_225_small.jpg
89,皇家理工学院,瑞典,63.2,logos_cn/皇家理工学院-m.jpg,https://www.qschina.cn/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg
90,伯明翰大学,英国,62.9,logos_cn/伯明翰大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-birmingham_59_small.jpg
91,圣安德鲁斯大学,英国,62.8,logos_cn/圣安德鲁斯大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-st-andrews_570_small.jpg
92,利兹大学,英国,62.6,logos_cn/利兹大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-leeds_338_small.jpg
93,西澳大学（UWA）,澳大利亚,62.5,logos_cn/西澳大学（UWA）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-western-australia_673_small.jpg
94,赖斯大学,美国,62.3,logos_cn/赖斯大学-m.jpg,https://www.qschina.cn/sites/default/files/rice-university_524_small.jpg
95,谢菲尔德大学,英国,61.6,logos_cn/谢菲尔德大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-sheffield_592560cf2aeae70239af4cb1_small.jpg
96,宾夕法尼亚州立大学,美国,61.5,logos_cn/宾夕法尼亚州立大学-m.jpg,https://www.qschina.cn/sites/default/files/pennsylvania-state-university_494_small.jpg
97,成均馆大学,韩国,60.5,logos_cn/成均馆大学-m.jpg,https://www.qschina.cn/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg
98,中国科学技术大学,中国(大陆),60.1,logos_cn/中国科学技术大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg
99,丹麦技术大学,丹麦,59.9,logos_cn/丹麦技术大学-m.jpg,https://www.qschina.cn/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_small.jpg
100,北卡罗来纳大学教堂山,美国,59.6,logos_cn/北卡罗来纳大学教堂山-m.jpg,https://www.qschina.cn/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg
101,都柏林三一学院,爱尔兰,59.5,logos_cn/都柏林三一学院-m.jpg,https://www.qschina.cn/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg
102,奥斯陆大学,挪威,59,logos_cn/奥斯陆大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-oslo_473_small.jpg
103,诺丁汉大学,英国,58.9,logos_cn/诺丁汉大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg
104,赫尔辛基大学,芬兰,58.5,logos_cn/赫尔辛基大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-helsinki_260_small.jpg
105,墨西哥国立自治大学,墨西哥,58.3,logos_cn/墨西哥国立自治大学-m.jpg,https://www.qschina.cn/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_small.jpg
105,日内瓦大学,瑞士,58.3,logos_cn/日内瓦大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-geneva_221_small.jpg
107,华盛顿大学在圣路易斯,美国,58,logos_cn/华盛顿大学在圣路易斯-m.jpg,https://www.qschina.cn/sites/default/files/washington-university-in-st.-louis_668_small.jpg
108,阿德莱德大学,澳大利亚,57.9,logos_cn/阿德莱德大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-adelaide_10_small.jpg
109,阿卜杜勒·阿齐兹国王大学（KAU）,沙特阿拉伯,57.7,logos_cn/阿卜杜勒·阿齐兹国王大学（KAU）-m.jpg,https://www.qschina.cn/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg
110,乌得勒支大学,荷兰,57.5,logos_cn/乌得勒支大学-m.jpg,https://www.qschina.cn/sites/default/files/utrecht-university_646_small.jpg
111,蒙特利尔大学,加拿大,57.3,logos_cn/蒙特利尔大学-m.jpg,https://www.qschina.cn/sites/default/files/universit-de-montral_417_small.jpg
112,阿尔托大学,芬兰,57,logos_cn/阿尔托大学-m.jpg,https://www.qschina.cn/sites/default/files/aalto-university_261_small.jpg
112,波士顿大学,美国,57,logos_cn/波士顿大学-m.jpg,https://www.qschina.cn/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg
112,莱顿大学,荷兰,57,logos_cn/莱顿大学-m.jpg,https://www.qschina.cn/sites/default/files/leiden-university_340_small.jpg
112,南加州大学,美国,57,logos_cn/南加州大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-southern-california_569_small.jpg
116,普渡大学,美国,56.9,logos_cn/普渡大学-m.jpg,https://www.qschina.cn/sites/default/files/purdue-university_510_small.jpg
117,伦敦大学皇后玛丽学院（QMUL）,英国,56.7,logos_cn/伦敦大学皇后玛丽学院（QMUL）-m.jpg,https://www.qschina.cn/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg
118,名古屋大学,日本,56.2,logos_cn/名古屋大学-m.jpg,https://www.qschina.cn/sites/default/files/nagoya-university_427_small.jpg
119,伯尔尼大学,瑞士,56.1,logos_cn/伯尔尼大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-bern_55_small.jpg
120,俄亥俄州立大学,美国,56,logos_cn/俄亥俄州立大学-m.jpg,https://www.qschina.cn/sites/default/files/the-ohio-state-university_465_small.jpg
121,查尔姆斯理工大学,瑞典,55.9,logos_cn/查尔姆斯理工大学-m.jpg,https://www.qschina.cn/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg
121,圣保罗大学,巴西,55.9,logos_cn/圣保罗大学-m.jpg,https://www.qschina.cn/sites/default/files/universidade-de-so-paulo_550_small.jpg
123,瓦赫宁根大学,荷兰,55.8,logos_cn/瓦赫宁根大学-m.jpg,https://www.qschina.cn/sites/default/files/wageningen-university_659_small.jpg
124,乌普萨拉大学,瑞典,55.4,logos_cn/乌普萨拉大学-m.jpg,https://www.qschina.cn/sites/default/files/uppsala-university_643_small.jpg
125,埃因霍芬理工大学,荷兰,55.3,logos_cn/埃因霍芬理工大学-m.jpg,https://www.qschina.cn/sites/default/files/eindhoven-university-of-technology_592560cf2aeae70239af4b3c_small.jpg
126,阿尔伯塔大学,加拿大,55.2,logos_cn/阿尔伯塔大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-alberta_15_small.jpg
127,柏林自由大学,德国,54.9,logos_cn/柏林自由大学-m.jpg,https://www.qschina.cn/sites/default/files/freie-universitaet-berlin_215_small.jpg
128,柏林洪堡大学,德国,54.8,logos_cn/柏林洪堡大学-m.jpg,https://www.qschina.cn/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg
128,格罗宁根大学,荷兰,54.8,logos_cn/格罗宁根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-groningen_243_small.jpg
130,里昂高等师范学院,法国,54.6,logos_cn/里昂高等师范学院-m.jpg,https://www.qschina.cn/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg
131,南京大学,中国(大陆),54.2,logos_cn/南京大学-m.jpg,https://www.qschina.cn/sites/default/files/nanjing-university_430_small.jpg
132,兰卡斯特大学,英国,54,logos_cn/兰卡斯特大学-m.jpg,https://www.qschina.cn/sites/default/files/lancaster-university_335_small.jpg
133,悉尼科技大学（UTS）,澳大利亚,53.9,logos_cn/悉尼科技大学（UTS）-m.jpg,https://www.qschina.cn/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_small.jpg
134,纽卡斯尔大学,英国,53.8,logos_cn/纽卡斯尔大学-m.jpg,https://www.qschina.cn/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg
135,智利天主教大学,智利,53.6,logos_cn/智利天主教大学-m.jpg,https://www.qschina.cn/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg
136,卡尔斯鲁厄理工学院,德国,53.4,logos_cn/卡尔斯鲁厄理工学院-m.jpg,https://www.qschina.cn/sites/default/files/kit-karlsruhe-institute-of-technology_310_small.jpg
137,九州大学,日本,53.3,logos_cn/九州大学-m.jpg,https://www.qschina.cn/sites/default/files/kyushu-university_331_small.jpg
138,巴塞尔大学,瑞士,53,logos_cn/巴塞尔大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-basel_46_small.jpg
138,加州大学戴维斯分校,美国,53,logos_cn/加州大学戴维斯分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg
140,麦克马斯特大学,加拿大,52.7,logos_cn/麦克马斯特大学-m.jpg,https://www.qschina.cn/sites/default/files/mcmaster-university_397_small.jpg
141,根特大学,比利时,52.6,logos_cn/根特大学-m.jpg,https://www.qschina.cn/sites/default/files/ghent-university_228_small.jpg
142,米兰理工大学,意大利,52.5,logos_cn/米兰理工大学-m.jpg,https://www.qschina.cn/sites/default/files/politecnico-di-milano_592560cf2aeae70239af4c1c_small.jpg
143,马来西亚博特拉大学（UPM）,马来西亚,52.2,logos_cn/马来西亚博特拉大学（UPM）-m.jpg,https://www.qschina.cn/sites/default/files/universiti-putra-malaysia-upm_385_small.jpg
144,马来西亚国民大学（UKM）,马来西亚,52,logos_cn/马来西亚国民大学（UKM）-m.jpg,https://www.qschina.cn/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_small.jpg
145,北海道大学,日本,51.4,logos_cn/北海道大学-m.jpg,https://www.qschina.cn/sites/default/files/hokkaido-university_266_small.jpg
146,加州大学圣芭芭拉分校,美国,51.2,logos_cn/加州大学圣芭芭拉分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg
147,马来西亚理科大学（USM）,马来西亚,51,logos_cn/马来西亚理科大学（USM）-m.jpg,https://www.qschina.cn/sites/default/files/universiti-sains-malaysia-usm_386_small.jpg
148,斯德哥尔摩大学,瑞典,50.6,logos_cn/斯德哥尔摩大学-m.jpg,https://www.qschina.cn/sites/default/files/stockholm-university_577_small.jpg
