rank,university,位置,score,logo_path,logo_url
51-100,都柏林三一学院,爱尔兰,,logos_cn/都柏林三一学院-m.jpg,https://www.qschina.cn/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg
51-100,纳瓦拉大学,西班牙,,logos_cn/纳瓦拉大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-navarra_592560cf2aeae70239af4c40_small.jpg
51-100,米兰大学,意大利,,logos_cn/米兰大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-milan_1873_small.jpg
51-100,弗莱堡大学,德国,,logos_cn/弗莱堡大学-m.jpg,https://www.qschina.cn/sites/default/files/albert-ludwigs-universitaet-freiburg_216_small.jpg
51-100,科隆大学,德国,,logos_cn/科隆大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-cologne_592560cf2aeae70239af4bc6_small.jpg
51-100,维也纳大学,奥地利,,logos_cn/维也纳大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-vienna_652_small.jpg
51-100,法语天主教鲁汶大学,比利时,,logos_cn/法语天主教鲁汶大学-m.jpg,https://www.qschina.cn/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg
51-100,都柏林大学,爱尔兰,,logos_cn/都柏林大学-m.jpg,https://www.qschina.cn/sites/default/files/university-college-dublin_166_small.jpg
51-100,阿姆斯特丹大学,荷兰,,logos_cn/阿姆斯特丹大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-amsterdam_18_small.jpg
51-100,亚利桑那大学,美国,,logos_cn/亚利桑那大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-arizona_26_small.jpg
51-100,不列颠哥伦比亚大学,加拿大,,logos_cn/不列颠哥伦比亚大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-british-columbia_70_small.jpg
51-100,加州大学欧文分校,美国,,logos_cn/加州大学欧文分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-irvine_86_small.jpg
51-100,加州大学圣地亚哥分校,美国,,logos_cn/加州大学圣地亚哥分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg
