rank,university,位置,score,logo_path,logo_url
51-100,乔治奥古斯特哥廷根大学,德国,,logos_cn/乔治奥古斯特哥廷根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-gttingen_234_small.jpg
51-100,乔治城大学,美国,,logos_cn/乔治城大学-m.jpg,https://www.qschina.cn/sites/default/files/georgetown-university_224_small.jpg
51-100,鲁汶大学,比利时,,logos_cn/鲁汶大学-m.jpg,https://www.qschina.cn/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg
51-100,罗蒙诺索夫莫斯科国立大学,俄罗斯,,logos_cn/罗蒙诺索夫莫斯科国立大学-m.jpg,https://www.qschina.cn/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg
51-100,麻省理工学院,美国,,logos_cn/麻省理工学院-m.jpg,https://www.qschina.cn/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg
51-100,蒙纳士大学,澳大利亚,,logos_cn/蒙纳士大学-m.jpg,https://www.qschina.cn/sites/default/files/monash-university_412_small.jpg
51-100,南洋理工大学,新加坡,,logos_cn/南洋理工大学-m.jpg,https://www.qschina.cn/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg
51-100,俄罗斯国家研究型高等经济大学（HSE）,俄罗斯,,logos_cn/俄罗斯国家研究型高等经济大学（HSE）-m.jpg,https://www.qschina.cn/sites/default/files/hse-university-national-research-university-higher-school-of-economics_592560cf2aeae70239af52ec_small.jpg
51-100,西北大学,美国,,logos_cn/西北大学-m.jpg,https://www.qschina.cn/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg
51-100,大阪大学,日本,,logos_cn/大阪大学-m.jpg,https://www.qschina.cn/sites/default/files/osaka-university_472_small.jpg
51-100,宾夕法尼亚州立大学,美国,,logos_cn/宾夕法尼亚州立大学-m.jpg,https://www.qschina.cn/sites/default/files/pennsylvania-state-university_494_small.jpg
51-100,智利天主教大学,智利,,logos_cn/智利天主教大学-m.jpg,https://www.qschina.cn/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg
51-100,伦敦大学皇后玛丽学院（QMUL）,英国,,logos_cn/伦敦大学皇后玛丽学院（QMUL）-m.jpg,https://www.qschina.cn/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg
51-100,中国人民大学,中国(大陆),,logos_cn/中国人民大学-m.jpg,https://www.qschina.cn/sites/default/files/renmin-peoples-university-of-china_884_small.jpg
51-100,萨皮恩扎 - 罗马大学,意大利,,logos_cn/萨皮恩扎 - 罗马大学-m.jpg,https://www.qschina.cn/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg
51-100,巴黎政治学院,法国,,logos_cn/巴黎政治学院-m.jpg,https://www.qschina.cn/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_small.jpg
51-100,首尔国立大学,韩国,,logos_cn/首尔国立大学-m.jpg,https://www.qschina.cn/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg
51-100,香港中文大学,香港,,logos_cn/香港中文大学-m.jpg,https://www.qschina.cn/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg
51-100,新南威尔士大学（UNSW）,澳大利亚,,logos_cn/新南威尔士大学（UNSW）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg
51-100,昆士兰大学（UQ）,澳大利亚,,logos_cn/昆士兰大学（UQ）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-queensland_515_small.jpg
51-100,都柏林三一学院,爱尔兰,,logos_cn/都柏林三一学院-m.jpg,https://www.qschina.cn/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg
51-100,马德里康普顿斯大学（UCM）,西班牙,,logos_cn/马德里康普顿斯大学（UCM）-m.jpg,https://www.qschina.cn/sites/default/files/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg
51-100,布宜诺斯艾利斯大学,阿根廷,,logos_cn/布宜诺斯艾利斯大学-m.jpg,https://www.qschina.cn/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg
51-100,智利大学,智利,,logos_cn/智利大学-m.jpg,https://www.qschina.cn/sites/default/files/universidad-de-chile_121_small.jpg
51-100,圣保罗大学,巴西,,logos_cn/圣保罗大学-m.jpg,https://www.qschina.cn/sites/default/files/universidade-de-so-paulo_550_small.jpg
51-100,博洛尼亚大学,意大利,,logos_cn/博洛尼亚大学-m.jpg,https://www.qschina.cn/sites/default/files/alma-mater-studiorum-university-of-bologna_592560cf2aeae70239af4ac0_small.jpg
51-100,维也纳大学,奥地利,,logos_cn/维也纳大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-vienna_652_small.jpg
51-100,都柏林大学,爱尔兰,,logos_cn/都柏林大学-m.jpg,https://www.qschina.cn/sites/default/files/university-college-dublin_166_small.jpg
51-100,伯明翰大学,英国,,logos_cn/伯明翰大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-birmingham_59_small.jpg
51-100,布里斯托大学,英国,,logos_cn/布里斯托大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-bristol_69_small.jpg
51-100,加州大学戴维斯分校,美国,,logos_cn/加州大学戴维斯分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg
51-100,加州大学圣地亚哥分校,美国,,logos_cn/加州大学圣地亚哥分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg
